彖	彑𧰨 hu
皮	{乛丿丨}又 py
发	{𠃊丿}又 fy
艮	日{𧘇-丿} oy
炙	𱼀火 xh
兼	丷八 bb
段	{段-殳}殳 pu
留	{丿𠄌丶}田 pt
聚	耳{水} eu
具	{具-八}八 qb
乒	丘丿 qp
㘗	口｛隹右｝
彝	彑廾 hc
疏	⺪𫶧 vi
丧	土{𧘇-丿} ty
岛	{鸟减一}山 nu
师	リ巾 lj
幺	𠃋厶 vs
彘	彑匕 hb
戢	戈耳 ge
枭	{鸟减一}木 nm
隶	肀水 yu
亦	亠{亦下} wb
壅	亠土 wt
帘	宀巾 bj
方	亠𠃌 wv
棠	龸木 xm
毋	{𠃊𠃌一(母-丶丶)}丿 mp
毌	{𠃊𠃌一(母-丶丶)}丨 ml
母	{𠃊𠃌一(母-丶丶)}丶 md
璧	尸玉 uy
石	丆口 ak
窝	宀内 bn
骨	冎⺼ go
敢	{⿱𠃍耳}攵 ew
见	冂儿 ke
象	{⺈丿口}𧰨 du
乙	乙乙 vv
亟	了{一} la
余	𠆢朩 rm
其	卄八 cb
無	𠂉灬 ph
羔	𦍌灬 yh
餮	歹艮 dg
乔	夭{⿰丿丨} yl
卸	𦈢卩 ve
庚	广人 gr
彧	𢦑{一} ga
戌	戊{一} wa
截	戈{隹右} gv
拜	龵丰 uf
爿	𠃊丨 vl
直	十{具-八} uq
瞿	目{隹右} ov
裳	龸衣 xy
雏	⺈{隹右} dv
丞	了一 la
乓	丘丶 qd
互	一彑 ah
兀	一儿 ae
典	{曲-一}八 qb
击	𰀁凵 fk
卣	⺊コ bk
孓	了乀 ln
寿	{寿上丰}寸 fc
巯	𢀖𫶧 ji
帝	亠巾 wj
弗	弓丨 gl
彳	丿亻 pr
既	{艮}旡 gw
日	囗一 ka
曰	囗一 ka
月	⺆二 ke
民	𠃍乚 vv
目	囗二 ke
贸	{丿𠄌丶}贝 pb
鸟	{鸟减一}一 na
鸩	冖鸟 bn
黻	业又 yy
丑	𠃍土 vt
世	廿𠃊 cv
乞	𠂉乙 pv
产	亠厂 wi
匆	勹丶 bd
卤	⺊㐅 bx
卯	𠂎卩 pe
咸	戊口 wk
威	戊女 wn
帅	リ巾 lj
弈	亠廾 wc
彦	亠彡 wp
戊	戈丿 gp
戍	戊丶 wd
掌	龸手 xu
攀	木手 mu
断	𠃊斤 vj
暨	{艮}旦 gd
椓	木豖 mu
瀣	氵韭 dj
爨	𦥑火 jh
牚	龸牙 xy
璺	𦥑玉 jy
盥	𦥑皿 jm
矛	予丿 yp
糸	幺小 yx
羸	亡羊 wy
肃	肀八 yb
舆	𦥑八 jb
舞	𠂉㐄 pf
衮	衣公 yg
衰	衣{⿻口一} yv
釜	父丷 fb
銮	亠金 wj
阜	丿十 pu
临	〢𫩏 lk
充	亠允 wy
兆	儿{冫⿱丿丶} ed
党	龸兄 xx
六	亠八 wb
午	𠂉十 pu
即	{艮}卩 ge
卿	𠂎{艮} pg
句	勹口 bk
哥	可可 kk
商	亠口 wk
善	羊口 yk
噗	口夫 kf
坐	土人 tr
堂	龸土 xt
墣	土夫 tf
壮	丬士 lt
复	𠂉夂 pw
夔	丷夂 bw
奕	亠大 wd
奡	𦣻{⿰丿丨} bl
妆	丬女 ln
娈	亠女 wn
孑	了㇀ la
将	丬寸 lc
尸	コ丿 kp
巴	巳丨 sl
希	㐅巾 xj
常	龸巾 xj
幞	巾夫 jf
弋	𫠠丶 yd
录	彐⺢ eu
敖	龶攵 fw
无	一尢 ay
曌	日工 og
栾	亠木 wm
桑	又木 ym
榖	士殳 tu
毅	立殳 lu
溯	氵月 do
漦	未水 wu
状	丬犬 lq
璞	𤣩夫 wf
番	釆田 ct
皱	⺈皮 dp
矢	𠂉大 pd
